Coordinates,Label
"8.314200401306152,7.39525032043457",Unlabelled
"7.205456256866455,9.49425220489502",Unlabelled
"4.256206035614014,8.210996627807617",Unlabelled
"2.430939197540283,11.362802505493164",Unlabelled
"3.7263424396514893,11.853288650512695",Unlabelled
"8.695680618286133,11.727678298950195",Unlabelled
"2.2440245151519775,6.0865325927734375",Unlabelled
"0.6167036294937134,7.004944324493408",Unlabelled
"3.8122968673706055,7.192234516143799",Unlabelled
"-2.730836868286133,7.647928714752197",Unlabelled
"-2.5816843509674072,7.823268890380859",Unlabelled
"2.137852668762207,9.7462739944458",Unlabelled
"5.753281593322754,7.424611568450928",Unlabelled
"6.046183109283447,7.380344390869141",Unlabelled
"2.1173717975616455,7.919074535369873",Unlabelled
"1.0648815631866455,12.751509666442871",Unlabelled
"-2.808314085006714,9.125495910644531",Unlabelled
"3.5061070919036865,6.248598575592041",Unlabelled
"4.671665668487549,5.013462543487549",Unlabelled
"4.449079513549805,7.890579700469971",Unlabelled
"3.1385715007781982,8.011247634887695",Unlabelled
"4.44468355178833,7.588686466217041",Unlabelled
"5.754510879516602,7.450668811798096",Unlabelled
"1.8148744106292725,11.763275146484375",Unlabelled
"0.46097949147224426,6.056955337524414",Unlabelled
"6.0343780517578125,7.2875189781188965",Unlabelled
"4.698514461517334,7.38364315032959",Unlabelled
"-2.627324342727661,7.180305480957031",Unlabelled
"0.918364405632019,7.608402252197266",Unlabelled
"-1.6136205196380615,6.194660186767578",Unlabelled
"7.500787734985352,9.045485496520996",Unlabelled
"5.879392147064209,8.505850791931152",Unlabelled
"5.6298747062683105,8.280491828918457",Unlabelled
"3.2903666496276855,9.092706680297852",Unlabelled
"9.887497901916504,6.195714473724365",Unlabelled
"-0.39583104848861694,8.44164752960205",Unlabelled
"7.382303237915039,9.022406578063965",Unlabelled
"7.097696781158447,8.027878761291504",Unlabelled
"6.246650218963623,4.914039611816406",Unlabelled
"4.5316877365112305,7.158319473266602",Unlabelled
"4.521635055541992,12.859579086303711",Unlabelled
"7.479950428009033,11.166620254516602",Unlabelled
"2.087297201156616,4.766465663909912",Unlabelled
"6.452036380767822,5.827520370483398",Unlabelled
"8.00435733795166,7.806579113006592",Unlabelled
"9.968958854675293,6.2241740226745605",Unlabelled
"4.408956050872803,9.595703125",Unlabelled
"1.439070463180542,6.674047946929932",Unlabelled
"7.913354873657227,13.09781265258789",Unlabelled
"7.157118320465088,9.847166061401367",Unlabelled
"6.899181842803955,9.466064453125",Unlabelled
"8.162530899047852,12.988569259643555",Unlabelled
"4.951287269592285,9.716020584106445",Unlabelled
"4.299227714538574,5.492385387420654",Unlabelled
"2.1682591438293457,8.054281234741211",Unlabelled
"5.218696117401123,8.35253620147705",Unlabelled
"5.274580001831055,9.110147476196289",Unlabelled
"8.510574340820312,7.265916347503662",Unlabelled
"5.621023654937744,6.663875579833984",Unlabelled
"5.627582550048828,10.591560363769531",Unlabelled
"3.7708983421325684,11.867426872253418",Unlabelled
"6.388065814971924,5.245788097381592",Unlabelled
"3.9769694805145264,11.535858154296875",Unlabelled
"3.995927095413208,9.328753471374512",Unlabelled
"6.546960830688477,7.726675510406494",Unlabelled
"6.954756736755371,7.981864929199219",Unlabelled
"5.447153568267822,6.90491247177124",Unlabelled
"4.730368614196777,12.044221878051758",Unlabelled
"4.07277250289917,13.190393447875977",Unlabelled
"3.4836883544921875,6.381719589233398",Unlabelled
"6.628643035888672,6.276370048522949",Unlabelled
"6.220244407653809,7.2462944984436035",Unlabelled
"6.133694171905518,6.46424674987793",Unlabelled
"6.148802757263184,6.4867072105407715",Unlabelled
"4.2046027183532715,6.743361949920654",Unlabelled
"-0.9346224069595337,5.120141983032227",Unlabelled
"6.127017498016357,5.100712776184082",Unlabelled
"8.518728256225586,11.85577392578125",Unlabelled
"4.6661553382873535,5.9604387283325195",Unlabelled
"4.115823745727539,11.006470680236816",Unlabelled
"8.171707153320312,11.353471755981445",Unlabelled
"6.605525493621826,10.231771469116211",Unlabelled
"0.3708641231060028,5.626740455627441",Unlabelled
"8.848777770996094,11.420315742492676",Unlabelled
"3.71305775642395,13.854290008544922",Unlabelled
"6.062705039978027,7.2762837409973145",Unlabelled
"7.170289516448975,12.022921562194824",Unlabelled
"7.6623687744140625,10.405319213867188",Unlabelled
"1.8356757164001465,4.9894819259643555",Unlabelled
"3.5440289974212646,7.488785743713379",Unlabelled
"5.665961265563965,12.82961654663086",Unlabelled
"-0.3211180567741394,5.150936126708984",Unlabelled
"4.834757328033447,8.745322227478027",Unlabelled
"8.957921981811523,12.376837730407715",Unlabelled
"5.8882551193237305,7.103393077850342",Unlabelled
"1.1041429042816162,7.580092430114746",Unlabelled
"-0.8670158982276917,4.943528652191162",Unlabelled
"7.54079532623291,8.748698234558105",Unlabelled
"4.456432342529297,9.658525466918945",Unlabelled
"7.201061248779297,13.518115043640137",Unlabelled
"6.02153205871582,7.091189384460449",Unlabelled
"5.83121395111084,6.796499729156494",Unlabelled
"1.1603511571884155,6.253657341003418",Unlabelled
"10.03979778289795,6.2028489112854",Unlabelled
"4.693731307983398,7.870539665222168",Unlabelled
"6.281935214996338,5.656647682189941",Unlabelled
"5.724041938781738,6.533697128295898",Unlabelled
"8.936387062072754,12.208874702453613",Unlabelled
"3.171694755554199,5.440875053405762",Unlabelled
"6.515631198883057,7.252038478851318",Unlabelled
"5.4530415534973145,8.054217338562012",Unlabelled
"6.593204021453857,6.148685455322266",Unlabelled
"8.6549654006958,8.013193130493164",Unlabelled
"1.9879827499389648,12.828645706176758",Unlabelled
"2.9020349979400635,8.042464256286621",Unlabelled
"4.351843357086182,8.361939430236816",Unlabelled
"7.31931209564209,8.654135704040527",Unlabelled
"4.949138164520264,7.581223487854004",Unlabelled
"8.945877075195312,12.22596549987793",Unlabelled
"1.105466604232788,8.078404426574707",Unlabelled
"6.47244930267334,7.066500186920166",Unlabelled
"6.5311713218688965,5.683141231536865",Unlabelled
"5.688565254211426,6.62322998046875",Unlabelled
"2.981968879699707,13.701336860656738",Unlabelled
